Stop ID,Stop Name,Stop Duration,Latitude,Longtitude
0,PGP Terminal,420,1.29181,103.78042
1,PGP House 15,30,1.29298,103.77792
2,TCOMS,30,1.29355,103.77704
3,Opp HSSML,30,1.29294,103.77513
4,Opp NUSS,30,1.29325,103.77238
5,Ventus(Opp LT13),30,1.29535,103.77057
6,Information Technology,30,1.29720,103.77269
7,Opp YIH,30,1.29889,103.77412
8,Museum,30,1.30116,103.77346
9,University Health Centre,30,1.29894,103.77606
10,Opp UHall,30,1.29756,103.77809
11,S17,30,1.29753,103.78068
12,Opp Kent Ridge MRT,30,1.29498,103.78461
13,Kent Ridge MRT,30,1.29480,103.78439
14,LT27,30,1.29735,103.78099
15,UHall,30,1.29742,103.77799
16,Opp University Health Centre,30,1.29874,103.77566
17,YIH,30,1.29885,103.77433
18,Central Library,30,1.29628,103.77227
19,LT13,30,1.29483,103.77064
20,AS5,30,1.29354,103.77175
21,COM2,30,1.29425,103.77379
22,BIZ2,30,1.29322,103.77506
23,Opp TCOMS,30,1.29371,103.77702
24,PGP House 7,30,1.29310,103.77806
25,University Town,45,1.30355,103.77443
26,PGP Residence,30,1.29096,103.78111
27,Kent Ridge Bus Terminal,600,1.29427,103.76965
28,Raffles Hall,30,1.30096,103.77275
29,EA,30,1.30061,103.77020
30,The Japanese Primary School,30,1.30076,103.76991
31,Kent Vale,30,1.30182,103.76961
